,row,id,family,year,age,sex,tongY1,palY1,meanY1,tongM1,palM1,meanM1,sat1,hue1,tongY2,palY2,meanY2,tongM2,palM2,meanM2,sat2,hue2,bodTemp1,bodTemp2,diffBodTemp,ambTemp1,ambTemp2,ambFinal,broodSize,bandTime1,bandTime2,handleTime,bandOrder,time1,time2,obtainTime,date,julDate,mass,tailLength,tarsus,wingChord,sevenPrim,expSevenPrim,billNT,billWidth,billDepth,TEC,head,skull,timeOut1,timeOut2,obt1Max,obt1Min,obt1Max.1,obt1Min.1,t1MaxMinusHour,t1MinMinusHour,t1MeanMinusHour,t1MaxAtBand,t1MinAtBand,t1MeanAtBand,futureBreeder,broodSize.1,familyProducedBreeder,comments,residuals,tempDiff
1,19,4F BROT03,BROT03,2003,24,F,50,50,50,90,80,85,135,0.63,NA,NA,NA,NA,NA,NA,NA,NA,40.6,NA,NA,NA,NA,13,5,,,NA,1,10:59:00,,,5/16/2003,136,447,55,60.5,155,100,55,21.7,13.4,12.7,32.7,72.8,40.1,NA,NA,NA,NA,NA,NA,56.2,53.7,54.7,56.2,55,13,2,5,2, ,54.66387858,-0.4
2,20,5G BROT03,BROT03,2003,25,M,50,40,45,70,60,65,110,0.591,NA,NA,NA,NA,NA,NA,NA,NA,39.2,NA,NA,NA,NA,13.3,5,,,NA,2,11:06:00,,,5/16/2003,136,370,60,63.2,171,111,62,23.6,13.3,13.1,37,78,41,NA,NA,NA,NA,NA,NA,56.2,55,55.4,57.1,55.3,13.33,2,5,2, ,-62.27262509,-1.8
3,23,6H BROT03,BROT03,2003,25,F,40,40,40,70,60,65,105,0.619,NA,NA,NA,NA,NA,NA,NA,NA,40.4,NA,NA,NA,NA,13.3,5,,,NA,3,11:27:00,,,5/16/2003,136,370,61,61.1,168,108,64,23.8,12.4,12.4,35.4,77.4,42,NA,NA,NA,NA,NA,NA,56.2,55,55.4,57.1,55.3,13.33,2,5,2, ,-30.19546984,-0.6
4,21,7I BROT03,BROT03,2003,25,F,50,50,50,70,60,65,115,0.565,NA,NA,NA,NA,NA,NA,NA,NA,38.7,NA,NA,NA,NA,13.3,5,11:44:00,11:59:00,15,4,11:11:00,,,5/16/2003,136,368,63,60.4,166,108,61,23.7,13.6,13,36.6,77.4,40.8,NA,NA,NA,NA,NA,NA,56.2,55,55.4,57.1,55.3,13.33,2,5,2, ,-23.02623001,-2.3
5,22,8J BROT03,BROT03,2003,25,M,50,50,50,70,70,70,120,0.583,NA,NA,NA,NA,NA,NA,NA,NA,38.9,NA,NA,NA,NA,13.3,5,12:00:00,12:15:00,15,5,11:23:00,,,5/16/2003,136,387,57,62.4,165,106,66,22.1,12.3,12.5,34,77.4,43.4,NA,NA,NA,NA,NA,NA,56.2,55,55.4,57.1,55.3,13.33,2,5,2, ,-35.14620092,-2.1
6,32,5Q BRTN03,BRTN03,2003,24,F,50,50,50,70,70,70,120,0.583,30,30,30,40,50,45,75,0.6,39.6,39.8,-0.2,NA,NA,14.4,4,11:23:00,11:34:00,11,2,11:22:00,11:58:00,10:34:00,5/17/2003,137,387,53,59.5,152,97,50,21.4,13.6,14.2,33.5,72.6,39.1,48,84,54,49.6,56.1,53.8,56.1,53.8,55.1,60.3,55.6,14.39,2,4,2, ,7.762792616,-1.4
7,31,6R BRTN03,BRTN03,2003,24,F,50,50,50,70,70,70,120,0.583,40,40,40,50,60,55,95,0.579,39.8,39.2,0.6,NA,NA,14.4,4,11:34:00,11:45:00,11,3,11:13:00,12:06:00,10:34:00,5/17/2003,137,354,51,55.9,154,95,51,21.6,12.7,13.7,34.5,71.8,37.3,39,92,54,49.6,56.1,53.8,56.1,53.8,55.1,60.3,55.6,14.39,2,4,2, ,21.91888313,-1.2
8,30,7S BRTN03,BRTN03,2003,24,M,60,60,60,80,80,80,140,0.571,NA,NA,NA,NA,NA,NA,NA,NA,39.8,NA,39.8,NA,NA,14.4,4,11:45:00,11:55:00,10,4,11:09:00,,10:34:00,5/17/2003,137,407,52,60.4,153,95,47,21.7,12.9,12.7,34.4,76.2,41.8,35,NA,54,49.6,56.1,53.8,56.1,53.8,55.1,60.3,55.6,14.39,2,4,2, ,10.1698595,-1.2
9,68,11 BURP03,BURP03,2003,26,M,30,40,35,50,60,55,90,0.611,NA,NA,NA,NA,NA,NA,NA,NA,41.4,NA,NA,18.3,NA,18.3,2,,,NA,1,9:41:00,,9:18:00,5/27/2003,147,312,55,58.6,169,115,58,22.9,13.2,12.8,35.6,78.7,43.1,23,NA,58.6,51.8,62,58.5,58.6,51.8,54.8,62,58.5,60,2,2,2, ,-62.04568613,0.4
10,69,SWB-W BURP03,BURP03,2003,26,M,30,30,30,70,50,60,90,0.667,NA,NA,NA,NA,NA,NA,NA,NA,36.9,NA,NA,18.3,NA,18.3,2,9:38:00,,NA,2,9:50:00,,9:18:00,5/27/2003,147,130,12,45,95,50,30,17.6,12.8,10.5,27.7,62.9,35.2,32,NA,58.6,51.8,62,58.5,58.6,51.8,54.8,62,58.5,60,2,2,2, ,-71.89647529,-4.1
11,80,45 CALD03,CALD03,2003,25,F,50,60,55,NA,90,90,145,0.621,50,50,50,70,80,75,125,0.6,40.8,40.9,-0.1,13.9,NA,13.9,2,8:50:00,9:02:00,12,1,8:48:00,9:04:00,8:37:00,6/5/2003,156,375,55,59.5,165,110,53,21.5,12.3,12.8,34.3,74.4,40.1,11,27,57.3,55.8,59.7,57,57.3,55.8,56.3,59.7,57,58.6,2,2,2, ,-4.237207384,-0.2
12,81,56 CALD03,CALD03,2003,25,F,50,50,50,70,80,75,125,0.6,40,50,45,70,90,80,125,0.64,40.6,40,0.6,13.9,NA,13.9,2,9:03:00,9:18:00,15,2,8:52:00,9:19:00,8:37:00,6/5/2003,156,353,47,59.4,156,97,52,21,12.3,12.6,33.3,73.4,40.1,15,42,57.3,55.8,59.7,57,57.3,55.8,56.3,59.7,57,58.6,2,2,2, ,-24.92731598,-0.4
13,61,02 COMP03,COMP03,2003,26,M,40,50,45,70,80,75,120,0.625,NA,NA,NA,NA,NA,NA,NA,NA,40.9,NA,NA,NA,NA,15.9,2,,,NA,1,14:03:00,,,5/23/2003,143,422,64,62.7,187,122,84,23.1,13.1,13.2,36.6,81.6,45,NA,NA,NA,NA,NA,NA,60.2,59.1,59.6,61.8,59.7,15.89,2,2,2, ,-3.943609985,-0.1
14,60,03 COMP03,COMP03,2003,26,M,40,40,40,60,70,65,105,0.619,NA,NA,NA,NA,NA,NA,NA,NA,39.1,NA,NA,NA,NA,15.3,2,,,NA,2,13:56:00,,,5/23/2003,143,382,56,62.1,180,120,80,23.1,13.2,12.8,37.7,79.1,41.4,NA,NA,NA,NA,NA,NA,60.9,59.2,60.1,60.2,59.1,15.33,2,2,2, ,-36.34879186,-1.9
15,85,24 COPA03,COPA03,2003,26,F,40,40,40,60,60,60,100,0.6,40,40,40,60,60,60,100,0.6,40.7,40.3,0.4,NA,NA,21.9,1,,,NA,1,13:06:00,13:42:00,12:46:00,6/15/2003,166,300,45,58.3,153,101,65,23,12,12.1,35.8,76.4,40.6,20,56,70,67.9,71.3,69.3,71.3,69.3,70.2,72.1,70.3,21.89,2,1,2, ,-63.51851054,-0.3
16,87,13 DYCE03,DYCE03,2003,24,F,60,60,60,80,80,80,140,0.571,40,40,40,80,80,80,120,0.667,40.3,38.3,2,20.9,NA,20.9,2,,,NA,2,10:11:00,11:10:00,9:50:00,6/15/2003,166,291,19,56.2,116,56,23,20.6,10,11.4,31.7,70.3,38.7,21,80,61.9,58.6,64.8,61.8,64.8,61.8,62.8,68.3,64.3,66.3,2,2,2, ,-44.7488128,-0.7
17,86,90 DYCE03,DYCE03,2003,24,M,50,50,50,70,70,70,120,0.583,40,40,40,90,80,85,125,0.68,39.6,39.8,-0.2,20.9,NA,20.9,2,,,NA,1,10:03:00,11:13:00,9:50:00,6/15/2003,166,326,25,60,132,67.9,27.3,21,11.5,12.3,31.6,70.9,39.3,13,83,61.9,58.6,64.8,61.8,64.8,61.8,62.8,68.3,64.3,66.3,2,2,2, ,-65.51376782,-1.4
18,48,6G ECRI03,ECRI03,2003,26,M,40,40,40,70,70,70,110,0.636,NA,NA,NA,NA,NA,NA,NA,NA,41.1,NA,NA,18.3,NA,18.3,3,,,NA,1,10:52:00,,,5/20/2003,140,327,65,58.4,178,120,78,21.9,12.2,11.9,35,75.2,40.2,NA,NA,NA,NA,NA,NA,67.6,62.4,65.2,69.9,67.4,68.6,2,3,1, ,-44.51408009,0.1
19,47,7H ECRI03,ECRI03,2003,26,F,40,40,40,70,60,65,105,0.619,NA,NA,NA,NA,NA,NA,NA,NA,41.4,NA,NA,18.3,NA,18.3,3,,,NA,2,10:49:00,,,5/20/2003,140,344,69,57.2,171,114,72,22,11.4,12.8,34,75.5,41.5,NA,NA,NA,NA,NA,NA,67.6,62.4,65.2,69.9,67.4,68.6,2,3,1, ,-5.109705109,0.4
20,46,8I ECRI03,ECRI03,2003,26,F,20,20,20,70,60,65,85,0.765,NA,NA,NA,NA,NA,NA,NA,NA,41.2,NA,NA,18.3,NA,18.3,3,,,NA,3,10:41:00,,,5/20/2003,140,250,36,55.8,140,84,47,20,11.6,10.8,30.1,70.1,40,NA,NA,NA,NA,NA,NA,67.6,62.4,65.2,69.9,67.4,68.6,1,3,1, ,-80.77122546,0.2
21,72,44 HATR03,HATR03,2003,27,F,30,30,30,50,50,50,80,0.625,30,30,30,60,60,60,90,0.667,41,42.1,-1.1,18.3,NA,18.3,1,9:55:00,10:13:00,18,1,9:53:00,10:15:00,9:39:00,5/29/2003,149,333,55,56.4,180,120,76,22.4,13.8,12.8,34.3,77.5,43.2,14,36,59.1,54.8,61.7,58.9,59.1,54.8,57,61.7,58.9,60.6,2,1,2, ,-5.630573883,0
22,5,4Q HAWA03,HAWA03,2003,25,M,50,NA,50,70,NA,70,120,0.583,NA,NA,NA,NA,NA,NA,NA,NA,38.2,NA,NA,15.6,NA,15.6,6,15:37:00,15:49:00,12,1,15:55:00,,,5/12/2003,132,430,59,64.2,169,110,62,23.2,12.7,14,35.4,78.3,42.9,NA,NA,NA,NA,NA,NA,51.9,50.7,51.1,52.2,51.7,51.9,2,6,2, ,-14.9306553,-2.8
23,2,5R HAWA03,HAWA03,2003,25,M,30,NA,30,80,NA,80,110,0.727,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,15.6,NA,15.6,6,15:50:00,16:05:00,15,2,15:44:00,,,5/12/2003,132,430,59,62.8,170,112,64,22,13.6,13,31,76.6,45.6,NA,NA,NA,NA,NA,NA,51.9,50.7,51.1,52.2,51.7,51.9,2,6,2, ,2.790586994,-1
24,6,6S HAWA03,HAWA03,2003,25,M,30,NA,30,80,NA,80,110,0.727,NA,NA,NA,NA,NA,NA,NA,NA,37.8,NA,NA,15.6,NA,15.6,6,16:07:00,16:22:00,15,3,15:58:00,,,5/12/2003,132,392,50,59.9,158,97,50,21.3,13.9,12,32.6,76.1,43.5,NA,NA,NA,NA,NA,NA,51.9,50.7,51.1,52.2,51.7,51.9,2,6,2, ,1.4988746,-3.2
25,1,7T HAWA03,HAWA03,2003,25,F,30,NA,30,50,NA,50,80,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,NA,15.6,6,16:23:00,16:39:00,16,4,15:41:00,,,5/12/2003,132,409,62,60.2,169,110,68,21.9,11.7,12.5,34.9,76.3,41.4,NA,NA,NA,NA,NA,NA,51.9,50.7,51.1,52.2,51.7,51.9,2,6,2, ,20.59355279,NA
26,4,8U HAWA03,HAWA03,2003,25,M,40,NA,40,80,NA,80,120,0.667,NA,NA,NA,NA,NA,NA,NA,NA,38.9,NA,NA,15.6,NA,15.6,6,16:40:00,,NA,5,15:51:00,,,5/12/2003,132,442,52,61.2,166,102,59,22.4,13.2,12.8,34.2,78.9,44.7,NA,NA,NA,NA,NA,NA,51.9,50.7,51.1,52.2,51.7,51.9,2,6,2, ,35.04343533,-2.1
27,3,9V HAWA03,HAWA03,2003,25,M,40,NA,40,80,NA,80,120,0.667,NA,NA,NA,NA,NA,NA,NA,NA,40.6,NA,NA,15.6,NA,15.6,6,,17:08:00,NA,6,15:46:00,,,5/12/2003,132,305,34,58.8,132,77,37,19.7,13.2,12.1,30.9,71.1,40.2,NA,NA,NA,NA,NA,NA,51.9,50.7,51.1,52.2,51.7,51.9,2,6,2, ,-71.57729217,-0.4
28,7,1N JUDD03,JUDD03,2003,25,F,60,NA,60,70,NA,70,130,0.538,40,NA,40,60,NA,60,100,0.6,39.8,39.7,0.1,15.6,NA,15.6,3,12:39:00,12:57:00,18,1,12:38:00,13:36:00,12:10:00,5/12/2003,132,398,52,58.1,164,111,64,21.8,12.7,12.3,32.7,76.4,43.7,28,86,52.9,50.7,53.6,50.7,52.9,50.7,51.6,53.6,50.7,52,2,3,1, ,37.10127226,-1.2
29,8,2O JUDD03,JUDD03,2003,25,F,50,NA,50,70,NA,70,120,0.583,40,NA,40,80,NA,80,120,0.667,40.6,39.1,1.5,15.6,NA,15.6,3,12:59:00,13:13:00,14,2,12:43:00,13:33:00,12:10:00,5/12/2003,132,405,56,59.4,160,104,47,21.5,12.8,12.9,33.6,74.4,40.8,33,83,52.9,50.7,53.6,50.7,52.9,50.7,51.6,53.6,50.7,52,2,3,1, ,27.07268402,-0.4
30,9,3P JUDD03,JUDD03,2003,25,F,50,NA,50,80,NA,80,130,0.615,40,NA,40,70,NA,70,110,0.636,40.6,40.9,-0.3,15.6,NA,15.6,3,13:13:00,13:29:00,16,3,12:46:00,13:30:00,12:10:00,5/12/2003,132,380,77,60.7,178,121,70,22.1,11.6,11.8,33.1,74.4,41.3,36,80,52.9,50.7,53.6,50.7,52.9,50.7,51.6,53.6,50.7,52,2,3,1, ,-14.95590422,-0.4
31,28,0L LRIS03,LRIS03,2003,25,F,50,40,45,70,70,70,115,0.609,30,30,30,70,60,65,95,0.684,40.4,38.9,1.6,17.2,NA,17.2,5,15:03:00,15:15:00,12,2,15:02:00,15:16:00,14:30:00,5/16/2003,136,355,49,59.8,160,102,58,21.5,13.4,12.9,34.3,76,41.7,32,46,60.5,57.9,61.1,60.2,61.1,60.2,60.6,61,60.3,60.7,2,5,2, ,-28.16688159,-0.6
32,27,1M LRIS03,LRIS03,2003,25,M,30,30,30,70,70,70,100,0.7,40,40,40,70,80,75,115,0.652,40.1,39.4,0.7,17.2,NA,17.2,5,15:16:00,15:27:00,11,3,14:58:00,15:30:00,14:30:00,5/16/2003,136,375,50,63.6,164,105,62,22.4,14.1,13,34.2,75.3,41.1,28,60,60.5,57.9,61.1,60.2,60.5,57.9,59.3,61.1,60.2,60.6,2,5,2, ,-62.33583717,-0.9
33,25,2N LRIS03,LRIS03,2003,25,F,40,20,30,70,70,70,100,0.7,40,30,35,60,70,65,100,0.65,40.7,39.6,1.2,17.2,NA,17.2,5,15:28:00,15:38:00,10,4,14:49:00,15:42:00,14:30:00,5/16/2003,136,370,55,60.7,163,107,61,21.2,13.6,12.5,32.7,74.2,41.5,19,72,60.5,57.9,61.1,60.2,60.5,57.9,59.3,61.1,60.2,60.6,2,5,2, ,-24.95590422,-0.3
34,26,3O LRIS03,LRIS03,2003,25,M,40,10,25,80,60,70,95,0.737,40,40,40,70,70,70,110,0.636,39.8,39.3,0.5,17.2,NA,17.2,5,15:39:00,15:54:00,15,5,14:53:00,15:56:00,14:30:00,5/16/2003,136,440,51,62.3,170,110,61,22,13.1,13.1,34.1,77.2,43.1,23,86,60.5,57.9,61.1,60.2,60.5,57.9,59.3,61.1,60.2,60.6,2,5,2, ,19.1196021,-1.2
35,24,9K LRIS03,LRIS03,2003,25,F,50,40,45,70,70,70,115,0.609,30,30,30,70,60,65,95,0.684,39.7,40.1,-0.4,17.2,NA,17.2,5,,15:00:00,NA,1,14:46:00,15:10:00,14:30:00,5/16/2003,136,342,50,57.4,168,110,61,19.8,11.8,11.7,32,73.3,41.3,16,40,60.5,57.9,61.1,60.2,60.5,57.9,59.3,61.1,60.2,60.6,2,5,2, ,-9.729487916,-1.3
36,73,55 MMUR03,MMUR03,2003,27,M,40,30,35,60,50,55,90,0.611,30,30,30,50,50,50,80,0.625,40.6,40.1,0.4,18.3,NA,18.3,2,12:14:00,12:28:00,14,1,12:10:00,12:40:00,11:54:00,5/29/2003,149,342,72,57.8,182,125,76,22.2,12.8,12.4,35,76.1,41.1,16,46,63.7,60.2,67.4,63.1,67.4,63.1,64.9,69,66.1,67.7,2,2,2, ,-21.91926196,-0.4
37,79,34 STAD03,STAD03,2003,23,M,50,60,55,80,90,85,140,0.607,70,70,70,80,90,85,155,0.548,39.6,40.9,-1.4,18.3,NA,18.3,1,12:00:00,12:18:00,18,1,11:58:00,12:22:00,11:45:00,6/4/2003,155,362,50,59.5,159,98,28,21.9,12.7,11.8,33.1,76,42.9,13,37,61.5,59.2,61.1,59.1,61.5,59.2,60.3,61.1,59.1,60,2,1,2, ,-23.43791332,-1.4
38,44,0A SWEG03,SWEG03,2003,25,F,40,40,40,70,70,70,110,0.636,NA,NA,NA,NA,NA,NA,NA,NA,40.7,NA,NA,22.8,NA,22.8,5,,,NA,4,11:11:00,,10:28:00,5/19/2003,139,289,47,53.3,158,102,56,20.1,11.7,11.6,32.6,71.2,38.6,43,NA,65.4,59.9,68,65.1,68,65.1,66.7,70.5,68,69.4,2,5,2, ,-9.023940382,-0.3
39,45,1B SWEG03,SWEG03,2003,25,F,60,50,55,80,80,80,135,0.593,NA,NA,NA,NA,NA,NA,NA,NA,40.2,NA,NA,22.8,NA,22.8,5,,,NA,5,11:18:00,,10:28:00,5/19/2003,139,310,48,56.2,164,113,66,20.2,13.4,11.8,31.8,71.3,39.5,50,NA,65.4,59.9,68,65.1,68,65.1,66.7,70.5,68,69.4,2,5,2, ,-26.01079108,-0.8
40,41,2X SWEG03,SWEG03,2003,25,F,50,50,50,70,80,75,125,0.6,50,NA,50,70,NA,70,120,0.583,42.4,40.6,1.8,22.8,NA,22.8,5,10:57:00,,NA,1,10:57:00,12:07:00,10:28:00,5/19/2003,139,358,65,55.9,170,115,70,22.5,14,12.8,34.4,76.3,41.9,29,99,65.4,59.9,68,65.1,65.4,59.9,62.6,68,65.1,66.7,2,5,2, ,25.91888313,1.4
41,43,3Y SWEG03,SWEG03,2003,25,M,50,50,50,80,80,80,130,0.615,NA,NA,NA,NA,NA,NA,NA,NA,40.9,NA,NA,22.8,NA,22.8,5,11:09:00,,NA,2,11:07:00,,10:28:00,5/19/2003,139,335,50,56.2,168,110,63,20.9,13,12.6,33.4,74.8,41.4,39,NA,65.4,59.9,68,65.1,68,65.1,66.7,70.5,68,69.4,2,5,2, ,-8.666413628,-0.1
42,42,4Z SWEG03,SWEG03,2003,25,M,50,50,50,80,80,80,130,0.615,NA,NA,NA,NA,NA,NA,NA,NA,40.6,NA,NA,22.8,NA,22.8,5,,,NA,3,11:01:00,,10:28:00,5/19/2003,139,356,55,53.9,161,105,50,21.51,13.4,12.8,33.5,75.7,42.2,33,NA,65.4,59.9,68,65.1,68,65.1,66.7,70.5,68,69.4,2,5,2, ,41.44705585,-0.4
43,63,00 TRUP03,TRUP03,2003,27,F,30,30,30,50,50,50,80,0.625,30,30,30,50,50,50,80,0.625,39.7,40.3,-0.7,15.6,NA,15.6,3,11:02:00,11:15:00,13,2,10:48:00,11:18:00,10:22:00,5/23/2003,143,297,58,56.2,177,123,78,21.1,11.5,12,32.9,74.6,41.7,26,56,56.8,54.6,58.1,56.3,56.8,54.6,56,58.1,56.3,57.1,2,3,2, ,-39.01079108,-1.3
